date,T2M,RH2M,WS10M,PRECTOTCORR
2024-06-24,35.09,47.12,2.92,20.52
2024-06-25,36.02,47.46,1.67,0.04
2024-06-26,36.06,45.85,2.99,4.73
2024-06-27,32.06,69.38,2.98,25.97
2024-06-28,31.85,67.8,3.48,2.88
2024-06-29,32.83,63.35,4.19,3.85
2024-06-30,33.33,63.7,3.24,8.37
2024-07-01,33.18,63.93,3.36,3.45
2024-07-02,33.78,66.18,2.94,6.23
2024-07-03,30.67,78.16,2.13,21.94
2024-07-04,28.55,85.11,3.71,9.0
2024-07-05,31.32,73.22,3.25,5.06
2024-07-06,29.85,79.03,3.06,18.15
2024-07-07,30.08,76.58,1.75,7.29
2024-07-08,30.69,75.18,2.88,8.59
2024-07-09,30.22,75.75,2.54,4.68
2024-07-10,32.47,67.97,2.32,2.69
2024-07-11,33.28,69.07,2.77,4.47
2024-07-12,33.58,66.0,3.16,1.65
2024-07-13,31.54,68.35,1.78,1.88
2024-07-14,32.44,62.33,2.13,0.79
2024-07-15,32.3,66.1,3.26,2.19
2024-07-16,32.53,68.17,4.07,0.32
2024-07-17,32.47,67.72,3.23,0.76
2024-07-18,32.3,70.47,2.39,5.71
2024-07-19,31.87,70.77,3.05,4.44
2024-07-20,32.13,68.07,2.44,3.43
2024-07-21,33.17,64.19,3.63,1.65
2024-07-22,32.43,68.85,3.82,9.08
2024-07-23,32.15,72.55,3.46,8.25
2024-07-24,29.89,83.12,4.0,18.95
2024-07-25,31.07,76.87,3.28,0.22
2024-07-26,31.09,76.35,2.1,9.92
2024-07-27,30.71,81.12,2.73,27.22
2024-07-28,31.95,72.77,3.06,0.05
2024-07-29,31.85,72.43,3.59,0.03
2024-07-30,32.47,71.56,2.91,1.93
2024-07-31,31.78,78.87,2.98,27.93
2024-08-01,28.8,89.15,3.62,41.56
2024-08-02,29.08,84.65,3.11,2.84
2024-08-03,29.1,82.36,4.23,0.04
2024-08-04,29.18,80.32,4.8,0.73
2024-08-05,29.17,82.51,6.22,0.43
2024-08-06,28.67,83.27,4.65,3.83
2024-08-07,27.1,89.45,4.55,26.59
2024-08-08,28.22,88.12,3.8,4.73
2024-08-09,28.26,91.23,1.67,4.88
2024-08-10,28.99,86.05,1.95,1.95
2024-08-11,28.22,87.73,2.57,5.43
2024-08-12,28.35,86.09,2.36,34.95
2024-08-13,28.34,89.16,2.77,4.61
2024-08-14,28.44,90.84,2.15,1.43
2024-08-15,28.95,87.24,2.37,1.46
2024-08-16,28.83,86.75,3.75,1.89
2024-08-17,29.18,86.82,1.54,5.7
2024-08-18,29.51,84.28,2.36,2.32
2024-08-19,29.09,84.54,2.28,4.14
2024-08-20,28.75,84.75,2.33,5.4
2024-08-21,29.34,82.12,2.15,3.54
2024-08-22,29.87,81.01,1.93,1.4
